abide,abode,abode
arise,arose,arisen
awake,awoke,awoken
bear,bore,born
beat,beat,beaten
become,became,become
beget,begot,begotten
begin,began,begun
bend,bent,bent
bereave,bereft,bereft
beseech,besought,besought
bespeak,bespoke,bespoken
bestride,bestrode,bestrided
bet,bet,bet
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burnt,burnt
burst,burst,burst
buy,bought,bought
can,could,could
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
draw,drew,drawn
dream,dreamt,dreamt
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
flee,fled,fled
fly,flew,flown
forbid,forbad(e),forbidden
forecast,forecast,forecast
forget,forgot,forgotten
forsake,forsook,forsaken
freeze,froze,frozen
get,got,got
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hang,hung,hung
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
kneel,knelt,knelt
know,knew,known
lay,laid,laid
lead,led,led
lean,leant,leant
leap,leapt,leapt
learn,learnt,learnt
leave,left,left
lend,lent,lent
let,let,let
lie(down),lay,lain
light,lit,lit
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
put,put,put
read,read,read
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
see,saw,seen
sell,sold,sold
send,sent,sent
set,set,set
shake,shook,shaken
shine,shone,shone
shoot,shot,shot
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
sleep,slept,slept
slide,slid,slid
speak,spoke,spoken
spend,spent,spent
spin,spun,spun
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
swear,swore,sworn
sweep,swept,swept
swim,swam,swum
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
throw,threw,thrown
understand,understood,understood
wake,woke,woken
wear,wore,worn
win,won,won
wind,wound,wound
write,wrote,written
